src,dst
esquina_5978,esquina_9116
esquina_9414,esquina_8731
esquina_8728,esquina_5524
esquina_5165,esquina_3196
esquina_2347,esquina_6881
esquina_204,esquina_5361
esquina_3585,esquina_1274
esquina_3733,esquina_4133
esquina_8719,esquina_6433
esquina_6939,esquina_7006
esquina_4868,esquina_4234
esquina_1516,esquina_8691
esquina_4703,esquina_5971
esquina_2183,esquina_700
esquina_8858,esquina_8112
esquina_2868,esquina_6167
esquina_1865,esquina_5394
esquina_1494,esquina_5104
esquina_4488,esquina_1202
esquina_6425,esquina_4365
esquina_1710,esquina_5738
esquina_8793,esquina_587
esquina_7686,esquina_4489
esquina_2771,esquina_692
esquina_5229,esquina_7524
esquina_4359,esquina_5367
esquina_1871,esquina_8495
esquina_1355,esquina_8868
esquina_3737,esquina_7711
esquina_7281,esquina_9036
esquina_4788,esquina_8050
esquina_9200,esquina_1027
esquina_4218,esquina_2812
esquina_9529,esquina_3914
esquina_6474,esquina_3874
esquina_6075,esquina_1312
esquina_4556,esquina_5981
esquina_825,esquina_3849
esquina_9906,esquina_5581
esquina_9147,esquina_5333
esquina_3514,esquina_8540
esquina_9258,esquina_6161
esquina_8621,esquina_4991
esquina_8183,esquina_8834
esquina_5656,esquina_4989
esquina_7845,esquina_9214
esquina_1365,esquina_9256
esquina_439,esquina_456
esquina_3103,esquina_9130
esquina_5196,esquina_3009
esquina_170,esquina_5091
esquina_6541,esquina_7857
esquina_1479,esquina_1166
esquina_5619,esquina_2460
esquina_5461,esquina_6546
esquina_4931,esquina_2308
esquina_5692,esquina_6732
esquina_5814,esquina_1307
esquina_3883,esquina_7008
esquina_7885,esquina_6730
esquina_2722,esquina_8335
esquina_6110,esquina_2145
esquina_9079,esquina_406
esquina_5302,esquina_5537
esquina_3127,esquina_2326
esquina_7832,esquina_1947
esquina_3290,esquina_8669
esquina_3828,esquina_7505
esquina_8278,esquina_9641
esquina_9729,esquina_2429
esquina_7188,esquina_5125
esquina_6257,esquina_3100
esquina_833,esquina_6694
esquina_8142,esquina_5831
esquina_9432,esquina_7624
esquina_9267,esquina_3986
esquina_8758,esquina_6956
esquina_1076,esquina_857
esquina_3383,esquina_7592
esquina_358,esquina_4896
esquina_9512,esquina_4976
esquina_5471,esquina_339
esquina_7238,esquina_9034
esquina_9155,esquina_4722
esquina_1972,esquina_3117
esquina_4688,esquina_4881
esquina_8464,esquina_9013
esquina_9708,esquina_2783
esquina_6530,esquina_4292
esquina_1051,esquina_262
esquina_6428,esquina_4965
esquina_2443,esquina_5331
esquina_8966,esquina_9369
esquina_8873,esquina_5483
esquina_6609,esquina_7205
esquina_8512,esquina_9452
esquina_5357,esquina_1999
esquina_8567,esquina_7964
esquina_2167,esquina_4972
esquina_9185,esquina_485
esquina_2862,esquina_2963
esquina_7013,esquina_2970
esquina_9580,esquina_4507
esquina_8648,esquina_6007
esquina_1463,esquina_2596
esquina_846,esquina_4020
esquina_1786,esquina_2388
esquina_3232,esquina_6862
esquina_6424,esquina_3959
esquina_9199,esquina_9394
esquina_6304,esquina_3288
esquina_4938,esquina_5199
esquina_9408,esquina_6293
esquina_2497,esquina_337
esquina_6123,esquina_6364
esquina_5465,esquina_4956
esquina_4813,esquina_1398
esquina_8313,esquina_3063
esquina_5978,esquina_2657
esquina_7122,esquina_8174
esquina_9621,esquina_9358
esquina_841,esquina_4132
esquina_5946,esquina_1388
esquina_8621,esquina_8993
esquina_7132,esquina_3285
esquina_8890,esquina_4902
esquina_4910,esquina_4782
esquina_6931,esquina_3197
esquina_3117,esquina_8758
esquina_3257,esquina_2172
esquina_2735,esquina_2374
esquina_3394,esquina_9440
esquina_4554,esquina_797
esquina_1336,esquina_8194
esquina_7939,esquina_9585
esquina_3028,esquina_3204
esquina_1460,esquina_9555
esquina_517,esquina_8991
esquina_4078,esquina_2298
esquina_4722,esquina_6772
esquina_9573,esquina_5885
esquina_7517,esquina_1062
esquina_368,esquina_4533
esquina_892,esquina_2272
esquina_4797,esquina_4666
esquina_458,esquina_5314
esquina_164,esquina_9106
esquina_2846,esquina_9344
esquina_7249,esquina_1750
esquina_1538,esquina_4045
esquina_6516,esquina_1011
esquina_1244,esquina_1547
esquina_2419,esquina_8540
esquina_228,esquina_6597
esquina_7887,esquina_30
esquina_5664,esquina_6768
esquina_4078,esquina_5732
esquina_2928,esquina_8224
esquina_5843,esquina_5492
esquina_8136,esquina_6398
esquina_9447,esquina_1971
esquina_6487,esquina_5516
esquina_4702,esquina_6572
esquina_6707,esquina_804
esquina_3210,esquina_4741
esquina_1719,esquina_4455
esquina_4684,esquina_7885
esquina_3008,esquina_7062
esquina_2841,esquina_1522
esquina_756,esquina_6820
esquina_7309,esquina_1247
esquina_4319,esquina_7014
esquina_5386,esquina_928
esquina_9229,esquina_3926
esquina_6382,esquina_1849
esquina_9420,esquina_187
esquina_3747,esquina_7847
esquina_5565,esquina_9692
esquina_4456,esquina_7055
esquina_9339,esquina_4565
esquina_102,esquina_2130
esquina_4173,esquina_1466
esquina_1369,esquina_1693
esquina_7172,esquina_7431
esquina_7967,esquina_69
esquina_3981,esquina_393
esquina_9985,esquina_9801
esquina_2139,esquina_1834
esquina_6720,esquina_1307
esquina_6098,esquina_7825
esquina_5868,esquina_9706
esquina_5032,esquina_6693
esquina_5879,esquina_6990
esquina_6556,esquina_1540
esquina_2662,esquina_6147
esquina_8486,esquina_3443
esquina_5204,esquina_1452
esquina_2230,esquina_3056
esquina_3849,esquina_922
esquina_6952,esquina_7798
esquina_8596,esquina_6232
esquina_5476,esquina_6095
esquina_2598,esquina_9609
esquina_2950,esquina_2316
esquina_6203,esquina_1531
esquina_4984,esquina_6009
esquina_8418,esquina_7039
esquina_3607,esquina_628
esquina_4784,esquina_6611
esquina_152,esquina_9260
esquina_5393,esquina_2812
esquina_7272,esquina_2129
esquina_7317,esquina_2755
esquina_4832,esquina_4077
esquina_2076,esquina_8289
esquina_7732,esquina_9493
esquina_3297,esquina_9384
esquina_7289,esquina_4219
esquina_9412,esquina_2237
esquina_1139,esquina_5185
esquina_2196,esquina_8879
esquina_3042,esquina_2758
esquina_1756,esquina_4455
esquina_6225,esquina_1639
esquina_4935,esquina_5987
esquina_2714,esquina_8070
esquina_9511,esquina_5680
esquina_2697,esquina_7768
esquina_143,esquina_3269
esquina_245,esquina_2132
esquina_4463,esquina_4803
esquina_2334,esquina_6155
esquina_9611,esquina_6414
esquina_8245,esquina_3530
esquina_5481,esquina_6435
esquina_2080,esquina_2013
esquina_2831,esquina_9988
esquina_2267,esquina_2347
esquina_8075,esquina_2581
esquina_3857,esquina_2199
esquina_9691,esquina_1614
esquina_2613,esquina_9360
esquina_2504,esquina_7553
esquina_969,esquina_8118
esquina_7325,esquina_2944
esquina_4107,esquina_8626
esquina_9731,esquina_1589
esquina_763,esquina_2141
esquina_1757,esquina_6607
esquina_9457,esquina_2206
esquina_58,esquina_7746
esquina_4766,esquina_4463
esquina_6791,esquina_1487
esquina_4990,esquina_8529
esquina_1696,esquina_2644
esquina_103,esquina_9013
esquina_9383,esquina_1273
esquina_4140,esquina_3714
esquina_4815,esquina_3437
esquina_6972,esquina_5119
esquina_281,esquina_1233
esquina_5435,esquina_1743
esquina_9632,esquina_815
esquina_8198,esquina_3353
esquina_1022,esquina_9702
esquina_6638,esquina_7185
esquina_9809,esquina_5825
esquina_9997,esquina_5545
esquina_4480,esquina_5854
esquina_2880,esquina_3876
esquina_7548,esquina_2246
esquina_7282,esquina_4921
esquina_1184,esquina_4687
esquina_5162,esquina_6366
esquina_6225,esquina_3550
esquina_730,esquina_805
esquina_6083,esquina_86
esquina_7033,esquina_648
esquina_6652,esquina_6910
esquina_8875,esquina_9852
esquina_7758,esquina_4412
esquina_4804,esquina_2490
esquina_3137,esquina_4369
esquina_3020,esquina_9
esquina_3513,esquina_4258
esquina_4777,esquina_4161
esquina_1821,esquina_2951
esquina_4397,esquina_2996
esquina_7970,esquina_324
esquina_3940,esquina_8809
esquina_8686,esquina_8233
esquina_7368,esquina_8516
esquina_5216,esquina_5335
esquina_3919,esquina_5209
esquina_1074,esquina_173
esquina_6975,esquina_2201
esquina_7163,esquina_56
esquina_2748,esquina_397
esquina_180,esquina_4989
esquina_8268,esquina_651
esquina_135,esquina_7777
esquina_5699,esquina_4090
esquina_2498,esquina_4586
esquina_9073,esquina_2716
esquina_3978,esquina_5558
esquina_6266,esquina_2296
esquina_3355,esquina_3962
esquina_7793,esquina_910
esquina_8911,esquina_3046
esquina_9819,esquina_7942
esquina_5078,esquina_2882
esquina_6554,esquina_4628
esquina_2118,esquina_179
esquina_914,esquina_6165
esquina_2764,esquina_6988
esquina_3122,esquina_2884
esquina_5510,esquina_4472
esquina_8219,esquina_922
esquina_4176,esquina_9881
esquina_141,esquina_842
esquina_1039,esquina_3072
esquina_9482,esquina_8121
esquina_3395,esquina_3006
esquina_8078,esquina_2286
esquina_9190,esquina_2343
esquina_8582,esquina_763
esquina_4304,esquina_7904
esquina_8944,esquina_822
esquina_7221,esquina_1867
esquina_9755,esquina_3941
esquina_6871,esquina_7424
esquina_2280,esquina_7814
esquina_2793,esquina_9102
esquina_3904,esquina_2882
esquina_4761,esquina_8923
esquina_5997,esquina_5258
esquina_9671,esquina_8871
esquina_6436,esquina_8627
esquina_4546,esquina_4423
esquina_1565,esquina_4827
esquina_5770,esquina_8647
esquina_99,esquina_6966
esquina_2472,esquina_8160
esquina_838,esquina_3192
esquina_2867,esquina_3130
esquina_7690,esquina_2022
esquina_4129,esquina_2100
esquina_6215,esquina_5513
esquina_194,esquina_5333
esquina_3684,esquina_211
esquina_8711,esquina_4053
esquina_6051,esquina_7450
esquina_393,esquina_9279
esquina_8480,esquina_1230
esquina_1502,esquina_187
esquina_241,esquina_6112
esquina_8878,esquina_3203
esquina_3143,esquina_9501
esquina_2841,esquina_3168
esquina_2434,esquina_7634
esquina_2788,esquina_6651
esquina_5850,esquina_9052
esquina_2656,esquina_6852
esquina_3120,esquina_2799
esquina_2575,esquina_4236
esquina_7839,esquina_548
esquina_6189,esquina_4865
esquina_1133,esquina_6352
esquina_3016,esquina_6610
esquina_6349,esquina_2186
esquina_4992,esquina_8801
esquina_2882,esquina_7509
esquina_7290,esquina_9199
