Data,Temperatura
2024-01-01,25.3
2024-01-02,26.1
2024-01-03,24.8
2024-01-04,27.5
2024-01-05,28.0
2024-01-06,26.7
2024-01-07,25.0
2024-01-08,27.2
2024-01-09,26.5
2024-01-10,24.9
2024-01-11,25.4
2024-01-12,28.1
2024-01-13,27.0
2024-01-14,26.3
2024-01-15,25.8
2024-01-16,24.7
2024-01-17,26.0
2024-01-18,27.3
2024-01-19,25.9
2024-01-20,28.2
2024-01-21,27.1
2024-01-22,26.4
2024-01-23,25.6
2024-01-24,24.5
2024-01-25,26.9
2024-01-26,27.7
2024-01-27,28.0
2024-01-28,26.2
2024-01-29,25.1
2024-01-30,24.8
2024-01-31,25.5
2024-02-01,26.0
2024-02-02,27.3
2024-02-03,25.9
2024-02-04,28.2
2024-02-05,27.1
2024-02-06,26.4
2024-02-07,25.6
2024-02-08,24.5
2024-02-09,26.9
2024-02-10,27.7
2024-02-11,28.0
2024-02-12,26.2
2024-02-13,25.1
2024-02-14,24.8
2024-02-15,25.5
2024-02-16,26.8
2024-02-17,27.4
2024-02-18,28.3
2024-02-19,26.1
2024-02-20,25.7
2024-02-21,24.6
2024-02-22,27.0
2024-02-23,28.1
2024-02-24,26.5
2024-02-25,25.9
2024-02-26,24.4
2024-02-27,27.2
2024-02-28,26.6
2024-03-01,25.5
2024-03-02,26.8
2024-03-03,27.4
2024-03-04,28.3
2024-03-05,26.1
2024-03-06,25.7
2024-03-07,24.6
2024-03-08,27.0
2024-03-09,28.1
2024-03-10,26.5
2024-03-11,25.3
2024-03-12,26.0
2024-03-13,27.2
2024-03-14,28.0
2024-03-15,25.8
2024-03-16,24.9
2024-03-17,26.7
2024-03-18,27.5
2024-03-19,28.2
2024-03-20,26.4
2024-03-21,25.6
2024-03-22,24.5
2024-03-23,27.1
2024-03-24,28.3
2024-03-25,26.9
2024-03-26,25.4
2024-03-27,24.8
2024-03-28,26.2
2024-03-29,27.0
2024-03-30,28.1
2024-03-31,26.5
