data,hora,cidade,volume_transmitido_mb
2024-04-01,14:20,Skopje,3.04
2024-04-04,23:34,Podgorica,8.85
2024-04-04,20:58,Skopje,30.17
2024-04-06,18:42,Tirana,0.31
2024-04-05,19:49,Sarajevo,0.01
2024-04-01,19:44,Sarajevo,5.44
2024-04-07,00:26,Pristina,14.2
2024-04-02,21:47,Skopje,6.84
2024-04-02,21:34,Pristina,14.45
2024-04-01,21:07,Skopje,13.46
2024-04-03,16:50,Skopje,17.11
2024-04-04,17:53,Pristina,44.61
2024-04-06,20:33,Sarajevo,7.3
2024-04-05,21:21,Skopje,17.29
2024-04-07,17:10,Pristina,14.12
2024-04-06,17:06,Podgorica,36.01
2024-04-03,17:43,Skopje,21.12
2024-04-03,16:03,Pristina,3.07
2024-04-05,18:33,Sarajevo,8.96
2024-04-01,16:35,Skopje,13.67
2024-04-06,07:09,Sarajevo,3.27
2024-04-05,11:19,Skopje,27.92
2024-04-01,14:38,Podgorica,26.47
2024-04-04,08:59,Skopje,14.01
2024-04-04,15:56,Skopje,24.31
2024-04-06,13:26,Skopje,8.26
2024-04-02,20:55,Skopje,0.08
2024-04-05,16:16,Podgorica,18.64
2024-04-05,02:12,Podgorica,39.12
2024-04-03,03:39,Tirana,29.83
2024-04-03,03:44,Tirana,0.99
2024-04-07,05:56,Skopje,19.62
2024-04-06,15:54,Tirana,12.36
2024-04-06,15:10,Skopje,18.74
2024-04-06,03:05,Podgorica,4.04
2024-04-05,19:38,Skopje,11.1
2024-04-06,08:41,Pristina,8.68
2024-04-01,14:23,Skopje,15.18
2024-04-05,04:19,Skopje,35.72
2024-04-05,18:52,Skopje,11.64
2024-04-05,15:08,Skopje,1.2
2024-04-03,04:37,Skopje,31.86
2024-04-07,19:09,Tirana,15.05
2024-04-03,12:27,Sarajevo,8.08
2024-04-02,03:43,Sarajevo,24.71
2024-04-06,03:12,Sarajevo,4.76
2024-04-05,16:56,Tirana,25.56
2024-04-06,05:26,Sarajevo,2.7
2024-04-04,01:33,Pristina,3.77
2024-04-01,11:03,Skopje,42.95
2024-04-02,00:55,Skopje,18.21
2024-04-05,13:45,Skopje,49.23
2024-04-06,05:54,Skopje,5.37
2024-04-01,11:38,Skopje,14.11
2024-04-01,14:14,Pristina,4.9
2024-04-04,15:29,Sarajevo,11.36
2024-04-07,21:25,Pristina,4.16
2024-04-01,03:22,Tirana,6.92
2024-04-04,01:09,Skopje,6.88
2024-04-01,03:17,Tirana,7.63
2024-04-05,08:47,Podgorica,27.05
2024-04-02,17:51,Skopje,0.62
2024-04-05,22:18,Tirana,3.73
2024-04-06,18:58,Podgorica,6.43
2024-04-07,00:40,Skopje,17.61
2024-04-02,15:45,Skopje,27.28
2024-04-06,15:20,Tirana,1.81
2024-04-03,19:41,Sarajevo,17.85
2024-04-05,08:47,Skopje,25.49
2024-04-02,10:09,Tirana,83.8
2024-04-04,03:48,Sarajevo,34.6
2024-04-06,03:20,Tirana,6.44
2024-04-01,19:14,Podgorica,29.1
2024-04-07,20:48,Pristina,15.41
2024-04-04,20:19,Skopje,34.32
2024-04-02,18:37,Tirana,42.23
2024-04-03,01:21,Sarajevo,2.63
2024-04-02,23:49,Pristina,8.92
2024-04-06,19:12,Sarajevo,0.27
2024-04-04,09:51,Pristina,20.59
2024-04-01,20:18,Tirana,16.08
2024-04-04,03:55,Tirana,10.66
2024-04-01,17:25,Tirana,4.2
2024-04-03,09:16,Sarajevo,10.0
2024-04-01,03:45,Sarajevo,6.46
2024-04-05,21:02,Tirana,10.17
2024-04-06,13:16,Skopje,10.37
2024-04-06,07:59,Tirana,2.92
2024-04-01,17:49,Sarajevo,36.95
2024-04-01,17:40,Skopje,39.53
2024-04-01,10:06,Pristina,49.71
2024-04-01,03:10,Sarajevo,5.47
2024-04-01,19:44,Skopje,5.72
2024-04-02,06:16,Skopje,7.53
2024-04-04,18:42,Podgorica,12.66
2024-04-06,04:15,Skopje,16.68
2024-04-06,10:06,Skopje,10.96
2024-04-01,13:04,Sarajevo,28.32
2024-04-06,02:23,Skopje,12.07
2024-04-01,08:57,Skopje,24.92
2024-04-07,01:16,Sarajevo,1.28
2024-04-04,07:40,Skopje,3.24
2024-04-06,16:13,Skopje,23.83
2024-04-05,14:14,Sarajevo,0.42
2024-04-05,02:39,Tirana,12.95
2024-04-03,14:49,Skopje,11.73
2024-04-05,11:37,Skopje,29.54
2024-04-04,07:37,Skopje,25.94
2024-04-02,17:31,Skopje,5.93
2024-04-04,22:51,Podgorica,3.65
2024-04-04,16:35,Tirana,27.68
2024-04-03,21:02,Skopje,18.04
2024-04-05,17:19,Skopje,55.85
2024-04-02,04:13,Pristina,0.63
2024-04-04,14:17,Skopje,1.23
2024-04-06,18:28,Skopje,1.26
2024-04-02,08:11,Pristina,7.89
2024-04-01,08:32,Skopje,8.76
2024-04-04,15:17,Skopje,18.81
2024-04-03,07:43,Tirana,10.91
2024-04-01,09:40,Tirana,14.19
2024-04-03,04:27,Pristina,12.52
2024-04-06,00:53,Skopje,0.22
2024-04-04,14:28,Skopje,1.48
2024-04-05,14:17,Skopje,10.15
2024-04-06,03:41,Pristina,8.53
2024-04-05,15:05,Skopje,44.68
2024-04-06,03:10,Sarajevo,0.23
2024-04-07,19:43,Sarajevo,29.12
2024-04-04,04:51,Tirana,14.35
2024-04-07,07:27,Sarajevo,15.18
2024-04-05,17:53,Podgorica,12.78
2024-04-04,12:12,Skopje,11.83
2024-04-06,13:22,Sarajevo,25.76
2024-04-01,17:46,Tirana,3.27
2024-04-04,23:26,Skopje,7.1
2024-04-07,05:05,Skopje,17.23
2024-04-07,05:27,Skopje,7.3
2024-04-01,06:57,Tirana,4.53
2024-04-01,13:45,Pristina,17.9
